Number,Title,Publication Title,Date,predicted_code,additional_entries
91,Three held for recording threat video of rape accused from jail,the times of india,2022-11-12,92,"(Mandsaur rape case: Three held for recording threat video of rape accused, the times of india, 2022-11-12)"
92,"Five men rape Tamil Nadu girl, circulate video on social media; 3 arrested",the times of india,2022-11-18,93,"(Five men rape TN girl, circulate video on social media; 3 arrested, the times of india, 2022-11-17)"
93,"Odisha boys rape 12-year-old girl, upload video on social media; 3 held",the hindustan times,2022-10-30,94,"(Nagpur woman drugged, raped by online friend, the times of india, 2022-10-30)"
94,25-year-old booked for uploading obscene photos of friend online,the times of india,2022-10-30,95,
95,Police file FIR after youth tweets video of duo stalking vlogger,the times of india,2022-12-02,96,
96,Video by rape accused in custody: 3 cops suspended,the times of india,2022-11-03,97,
97,Jury Convicts Ex-Cop on Obstruction Charge Stemming from Jan. 6 Attack; Former Capitol Police Officer Michael Riley found guilty of deleting Facebook messages he sent suggesting that a rioter delete posts boasting about being in the Capitol,wall street journal,2022-10-28,98,
98,Google and Youtube provide $13.2m grant to fight misinformation,dpa international (english),2022-11-29,99,
99,"Explained: Why Google removes videos from YouTube, who decides what is harmful content and more",the times of india,2022-12-04,100,
100,YouTube introduces new tools to tackle comment spammers,the times of india,2022-12-15,101,
101,"YouTube May Have Misinformation Blind Spots, Researchers Say",the new york times,2022-11-07,102,
102,"We put forward how PlayStore, YouTube gave Google undue advantage'",the times of india,2022-11-06,103,
103,"Facebook Is a Freak Show Ghost Town, and I’m Loving It",new york times,2022-11-19,104,
104,Hong Kong Editors Go on Trial for Sedition Over Interviews With Activists; Two top editors of closed online outlet Stand News face a 20-day trial after being arrested by national security police last year,wall street journal,2022-11-01,105,
105,Libya GNU foreign ministry social media accounts trade jabs over,bbc monitoring newsfile,2022-12-21,106,
106,"Let Rishabh Pant rest': England star's stern reaction to viral photos, videos after India keeper's accident",the hindustan times,2022-12-30,107,"('Shame on you': Rohit Sharma's wife Ritika lambasts ones sharing injured Pant's videos, images, the hindustan times, 2022-12-31)"
107,WhatsApp banned 23 lakh Indian accounts in October: User safety report,the times of india,2022-12-01,108,"(WhatsApp says it banned over 26 lakh accounts in India through abuse detection system, the times of india, 2022-11-02), (WhatsApp banned 37 lakh Indian accounts in November: User safety report, the times of india, 2022-12-22), (Received this viral WhatsApp forward about Covid XBB variant? Beware, it's fake, the hindustan times, 2022-12-22), (Govt bans YouTube channels with 33 lakh subscribers, over 30 crore views, here's why, the times of india, 2022-12-21), (PIB unit busts three YouTube channels spreading fake news, the times of india, 2022-12-22), (Covid: XBB not worse than Delta, viral message is fake, says govt, the times of india, 2022-12-24), (104 Youtube channels blocked for spreading misinformation: Govt tells Rajya Sabha, the hindustan times, 2022-12-22), (WhatsApp banned over 37 lakh Indian accounts in November. Here's why, the hindustan times, 2022-12-21), (Viral msg on XBB variant fake: Govt, the times of india, 2022-12-23), (3 YouTube channels busted for fake news, the times of india, 2022-12-21)"
108,Received 'Hi Mum' text on WhatsApp? Here's what you should do immediately,the hindustan times,2022-12-18,109,
109,Mobile numbers of nearly 500 million WhatsApp users put on sale: Report,the hindustan times,2022-11-26,110,
110,2 in 3 S'pore residents not reporting scams on messaging platforms: WhatsApp survey,the straits times,2022-12-11,111,
111,What you should do if your WhatsApp account gets banned,the times of india,2022-10-19,112,
112,Turkey's New Media Law Criticized by Free-Speech Advocates; The law criminalizes the spread of alleged disinformation and forces social-media platforms such as WhatsApp to hand over users' personal information,wall street journal,2022-10-14,113,"(Turkey Passes Law Allowing It to Jail People for Spreading 'Fake News', new york times, 2022-10-15), (Turkey Allows Jail Terms for What It Deems ‘Fake News’, new york times, 2022-10-14), (SC rejects Meta's plea, upholds HC judgement of CCI probe into WhatsApp's 2021 privacy policy, the times of india, 2022-10-15), (SC dismisses Meta, WhatsApp pleas over privacy policy probe, the hindustan times, 2022-10-14)"
113,"Someone Stuffed a Gun in a Raw Chicken at an Airport. TSA Called 'Personal Fowl'; 'This idea wasn't even half-baked,' federal agency says on social media",wall street journal,2022-11-09,114,
114,Credit Suisse sues blog after it publishes 'abusive comments',the daily telegraph,2022-12-20,115,
115,Laws on online political ads remain in breach of EU rules,irish examiner,2022-12-06,116,"(Oversight Board Criticizes Meta for Preferential Treatment, new york times, 2022-12-06), (Facebook moderation system favours ‘business partners’, says oversight board, the guardian, 2022-12-06), (Facebook Parent's Oversight Board Criticizes 'Cross Check' Program That Protects VIP Users; New report faults Meta Platforms for giving some users unfair deference and misleading the public, wall street journal, 2022-12-06), (Meta's Targeted Ad Model Faces Restrictions in Europe; EU privacy regulators say Facebook and Instagram shouldn't use their terms of service to require users to accept ads based on their digital activity, wall street journal, 2022-12-06)"
116,"Ireland fines Facebook parent Meta $277 million, here's why",the times of india,2022-11-30,117,"(Ireland's privacy watchdog fines Facebook owner Meta €265m for leaking of users' personal details, irish examiner, 2022-11-28), (Facebook Parent Meta Fined $276 Million in Europe for Data-Scraping Leak; Company gets new EU privacy fine as bloc tightens regulation of big tech companies, wall street journal, 2022-11-28), (Data regulator fines Facebook owner Meta €265m for privacy rules breaches, irish times, 2022-11-29)"
117,Facebook owner Meta fined £21m for violating campaign disclosure laws,irish examiner,2022-10-27,118,
118,Nigeria sues Meta over 'unvetted' advertising,bbc monitoring newsfile,2022-10-04,119,
119,Council criticises Meta’s ‘data free-for-all ’,irish times,2022-11-18,120,
120,Counsel made offensive comments': David Warner withdraws bid to overturn leadership ban with 800-word Instagram post,the hindustan times,2022-12-07,121,
121,Oppn accuses Mann govt of stopping ads to 'critical' media,the times of india,2022-12-23,122,"(Opposition accuses Mann govt of stopping ads to 'critical' media, the times of india, 2022-12-24)"
122,Mass exodus at Twitter after Musk issues 'hardcore' ultimatum,the straits times,2022-11-19,123,"(Twitter Workers Said to Resign by the Hundreds After Elon Musk Set Employment Ultimatum; Company follows up with practical details after billionaire challenges employees to be 'hardcore' or leave, wall street journal, 2022-11-18), (Twitter's Mass Resignations Test Elon Musk's Management Playbook; Mr. Musk has tried to frame demands for long hours of 'hardcore' work at Twitter in altruistic terms but it isn't clear that they are motivating employees, wall street journal, 2022-11-18), (Elon Musk Takes a Hard Line on Quiet Quitters—and Anyone He Thinks Is Close; Twitter boss's ultimatum to work long hours or leave could jolt culture but comes with risks, consultants say, wall street journal, 2022-11-17), (Twitter Workers Say Farewell After Musk Ultimatum Over Terms of Employment Passes; Company follows up with practical details after billionaire challenges remaining employees to be 'hardcore' or leave: 'This is not a phishing attempt', wall street journal, 2022-11-17), (Mass resignations and revolt greet Musk's Twitter 2.0 plan, the times of india, 2022-11-19), (Musk issues ultimatum to staff: commit to ‘hardcore’ Twitter or take severance, the washington post, 2022-11-16), (More Twitter workers flee after Musk’s ‘hardcore’ ultimatum, irish examiner, 2022-11-18), (Musk tells Twitter staff: be ‘extremely hard-core’ or leave, irish times, 2022-11-17), (Resignations Roil Twitter as Elon Musk Tries Persuading Some Workers to Stay, new york times, 2022-11-17), (After Elon Musk's ultimatum, Twitter faces mass resignation. People react, the hindustan times, 2022-11-18), (Musk issues ultimatum to staff: Commit to ‘hardcore’ Twitter or take severance, the washington post, 2022-11-16), (Twitter Workers Slack Their Farewells --- Exodus follows Musk ultimatum to remaining staff to be 'hardcore' or leave, wall street journal, 2022-11-18), (Hundreds said to have opted to leave Twitter over Musk ultimatum, the washington post, 2022-11-17), (Elon Musk Tells Twitter Staff to Work 'Long Hours at High Intensity' or Leave; Billionaire's ultimatum, following sweeping layoffs and executive exodus, sets deadline for employees to stay or take a severance package, wall street journal, 2022-11-16), (Twitter ‘closes offices’ after Elon Musk’s loyalty oath sparks wave of resignations, the guardian, 2022-11-19), (Musk to staffers: Commit to 'hardcore' Twitter or leave, the washington post, 2022-11-17), (Social media can pose threat to democracy: Study, the times of india, 2022-11-18), (India Showed Me Twitter's Perils and Potential, new york times, 2022-11-17), (Musk summons engineers to Twitter HQ as millions await platform’s collapse, the washington post, 2022-11-18), (Elon Musk Delays Introduction of Twitter's Blue Verification to Nov. 29; New rollout target follows suspension of updated subscription service after impersonators swarmed the platform, wall street journal, 2022-11-16), (Lessons From the Turmoil at Twitter, new york times, 2022-11-17), (Twitter's descent into disarray, the straits times, 2022-11-19), (Los empleados de Twitter dimiten en masa tras el ultimátum de Musk ""Los mejores se quedan. No estoy superpreocupado"", dice el nuevo dueño de la red social, el pais, 2022-11-19), (That Feeling When by Nikhil Taneja: The fall and fall of Elon Musk's Twitter, the hindustan times, 2022-11-19), (¿El fin de Twitter? Despidos y renuncias masivas afectan a la red social de Elon Musk, new york times, 2022-11-18), (Elon Musk’s Twitter Teeters on the Edge After Another 1,200 Leave, new york times, 2022-11-18), (Meet the projection activist who just trolled Elon Musk on Twitter's headquarters, los angeles times, 2022-11-19), (COMMENTARY; At Twitter, a $44-billion life lesson; Site's biggest problem used to be the human nature of users. Elon Musk changed all that., los angeles times, 2022-11-18), (With 'no one left to fix things' at Elon Musk's Twitter, farewell memes galore, the hindustan times, 2022-11-18), (Elon Musk eviscerated amid meltdown at Twitter. We'll survive, he says, the times of india, 2022-11-19)"
123,"Black Panther: Wakanda Forever's Tenoch Huerta addresses viral Namor's 'bulge' tweet, 'I'm not going to lie to people'",the hindustan times,2022-11-30,124,
124,L.A. City Council president steps down in wake of racist comments,the washington post,2022-10-10,125,"(What could happen to the L.A. councilmembers caught making racist comments?, los angeles times, 2022-10-12), (Los Angeles City Council member resigns days after racist comments surface, the washington post, 2022-10-12), (Protesters Swarm Los Angeles City Council Meeting After Audio Leak of Racist Comments; Nury Martinez said she would take a leave of absence but hasn't resigned after a recording was released of her racist comments about a colleague's son, wall street journal, 2022-10-12)"
125,"After leaked racist audio, this L.A. band's love song to Oaxaca lights up TikTok",los angeles times,2022-10-14,126,
126,"Gil Cedillo, Kevin de León stripped of City Council committee posts over racist leak",los angeles times,2022-10-17,127,"(Gil Cedillo and Kevin de León stripped of City Council committee posts over racist leak, los angeles times, 2022-10-17)"
127,Dorries predicts 'huge fight' if online harm Bill weakened,the daily telegraph,2022-11-12,128,
128,Children’s Groups Want F.T.C. to Ban ‘Unfair’ Online Manipulation of Kids,new york times,2022-11-17,129,"(Advocacy Groups Want F.T.C. to Ban 'Unfair' Online Manipulation of Children, new york times, 2022-11-18), (Children’s Groups Want FTC to Ban ‘Unfair’ Online Manipulation of Kids, new york times, 2022-11-17)"
129,"Loopholes in Online Safety Bill leave children at risk, says Russell",the daily telegraph,2022-11-30,130,"(Online Safety Bill must protect children, the daily telegraph, 2022-11-30), (Plea: Keep minors off online gambling, the times of india, 2022-11-30)"
130,Bill Outlawing Online Suicide Assistance Would Open Sites to Liability,new york times,2022-11-02,131,
131,"Delays to online safety bill will endanger young people, says Molly Russell’s father",the guardian,2022-10-09,132,
132,Deepfakes' UCC study highlights risk of 'false memory' created by online technology,irish examiner,2022-11-14,133,
133,Child Safety Internet Law Challenged,new york times,2022-12-15,134,"(Tech Trade Group Sues California to Halt Children’s Online Safety Law, new york times, 2022-12-14)"
134,"Online safety bill must protect adults from self-harm content, say charities",the guardian,2022-10-14,135,
135,How parents can help protect children from online catfishing and other digital dangers,los angeles times,2022-12-02,136,"(How to help keep children safe online: Talk early and often; Experts say Riverside 'catfishing' tragedy can be a conversation starter for parents., los angeles times, 2022-12-04)"
136,"Protect children who go online, demands Prince",the daily telegraph,2022-10-01,137,
137,Critical step against online harm,the straits times,2022-11-14,138,
138,Give more bite to S'pore's online safety rules,the straits times,2022-10-07,139,
139,UK Online Safety Bill to criminalise encouraging self-harm,irish examiner,2022-11-27,140,
140,New Bill takes aim at online harm,the straits times,2022-10-04,141,
141,UK minister defends U-turn over removing harmful online content,the guardian,2022-11-29,142,
142,Proposed law equips IMDA to fight online harm like 'firefighter',the straits times,2022-11-09,143,
143,"Instagram 'influencer' Bobby Kataria surrenders before Dehradun court in public drinking case, granted bail",the times of india,2022-10-08,144,
144,Somalia closes more social media accounts used by al-Shabab,bbc monitoring newsfile,2022-12-20,145,
145,‘Opening the gates of hell’: Musk says he will revive banned accounts,the washington post,2022-11-24,146,
146,Comedienne Kathy Griffin suspended from Twitter after impersonating Elon Musk,the straits times,2022-11-09,147,
147,Mastodon user claims account suspended for being a 'capitalist'. Musk reacts,the hindustan times,2022-11-20,148,
148,Cybercrime police grill social media commentator,the times of india,2022-11-30,149,
149,"With rise in online crimes, need to create cyber warriors: CM",the times of india,2022-12-03,150,
150,"Centre warns digital publishers, private channels against online betting ads",the hindustan times,2022-10-03,151,"(Don't carry online betting ads, Centre tells news websites &amp; OTT platforms, the times of india, 2022-10-04)"
151,PTR slams guv for meeting online gambling co staff,the times of india,2022-12-09,152,
152,Madras high court to Centre: Enforce ban on violent online games,the times of india,2022-10-15,153,"(Madras high court initiates suo motu plea to curb violent online games, the times of india, 2022-10-14), (Enforce ban on violent online games: HC to govt, the times of india, 2022-10-15)"
153,TikTok Influencer Is Fined After Hitting a Golf Ball Into the Grand Canyon,new york times,2022-12-05,154,"(TikTok influencer is fined after hitting a golf ball into the Grand Canyon, chicago tribune, 2022-12-05), (TikTok influencer who hit golf ball into Grand Canyon takes deal for a $285 fine, los angeles times, 2022-12-06)"
154,A TikToker hit a golf ball into the Grand Canyon. She now faces charges.,the washington post,2022-11-02,155,
155,Irish Examiner view: Online vitriol,irish examiner,2022-10-14,156,
156,"Fire, gunshots at Iran's Evin Prison reported on social media",bbc monitoring newsfile,2022-10-15,157,
157,Democracies must regulate social media before it’s too late,irish times,2022-10-22,158,
158,Regulate therapists on social media: K'taka HC tells govt,the times of india,2022-10-10,159,"(Regulate therapists on social media: Karnataka HC, the times of india, 2022-10-10)"
159,Govt to consult media fraternity over social media 'rumour-mongering',the nation,2022-11-02,160,
160,FIA boss Mohammed ben Sulayem hits out at ‘sustained toxicity’ on social media,irish examiner,2022-11-08,161,
161,Social media turning into 'toolkit' of terrorists: EAM,the times of india,2022-10-30,162,"(India calls for efforts to combat terrorists' use of internet, social media, the hindustan times, 2022-10-29), (EAM: Social media turning into 'toolkit' of terror groups, the times of india, 2022-10-30), (India's government to increase influence over social media content, dpa international (english), 2022-10-29), (New IT Rules: Government panels to hear users' appeal against Facebook, Twitter and other social media companies, the times of india, 2022-10-29), (Onus on social media cos to nix illegal content: Govt on IT rules, the times of india, 2022-10-30), (India govt panel to hear complaints over social media content, the straits times, 2022-10-30), (Social media cos must have 'safeguards' for their users, the times of india, 2022-10-29)"
162,EC: Prevent misuse of social media with 'algorithm power',the times of india,2022-11-01,163,"(Social media platforms should play proactive role in flagging fake news: CEC Rajiv Kumar, the times of india, 2022-11-01), (EC stresses on preventing misuse of social media with 'algorithm power', the times of india, 2022-11-01)"
163,"Avoid using unethical words on social media, says Khawaja Asif",the nation,2022-12-25,164,
164,Content creator gets jail and fine over obscene material on OnlyFans platform,the straits times,2022-10-13,165,
165,Facebook most common platform for bullying: Unicef study in Assam,the times of india,2022-11-21,166,
166,Book was selected by a committee but revoked based on social media',the hindustan times,2022-12-14,167,
167,Erdoğan likens 'slanders' on social media to 'terrorist attack',dpa international (english),2022-10-19,168,"('No India without Virat Kohli': Fans lash out at ICC for Instagram video featuring Rohit, Rahul, Suryakumar, Chahal, the hindustan times, 2022-10-19), ('No India without Virat Kohli': ICC's Instagram video featuring Rohit, Rahul, Suryakumar, Chahal lambasted by fans, the hindustan times, 2022-10-19), (India media outlet on defensive after explosive claims of Meta censorship, the washington post, 2022-10-19), (Indian outlet on defensive after its explosive claims of Meta political censorship, the washington post, 2022-10-18), (J&amp;K 'social media handler' nabbed for spreading anti-India propaganda, the times of india, 2022-10-19)"
168,FIR against SP social media handle for promoting enmity,the times of india,2022-11-24,169,
169,"Assaulted by 3' in Nainital, man posts ordeal on social media, kills self",the times of india,2022-12-22,170,
170,"Kyrgyz social media user held for 'spreading IS, Taliban ideas'",bbc monitoring central asia,2022-11-28,171,
171,Kyrgyz court jails Twitter user for alleged pro-Russian post,bbc monitoring central asia,2022-10-03,172,
172,Kazakh activist arrested over video appeal to EU chief,bbc monitoring central asia,2022-12-16,173,
173,Adidas cuts ties with Kanye West over antisemitic comments,the guardian,2022-10-25,174,"(Kanye West's Partners Flee, Putting His Future in Fashion and Business in Doubt; Adidas, Gap say they are no longer working with rapper after anti-Semitic comments; Universal Music says he is no longer under contract, wall street journal, 2022-10-26)"
174,Meta Panel Finds VIPs Received Unfair Lift,wall street journal,2022-12-07,175,
175,"Days after Arunachal clash, old video of India-China troops fight goes viral",the hindustan times,2022-12-14,176,
176,Bigg Boss fans make 'Kashmera shakal dekh apni' trend on Twitter after she voices support for Sajid Khan,the hindustan times,2022-10-02,177,
177,Ali Fazal shares post demanding Sajid Khan's eviction from Bigg Boss 16,the hindustan times,2022-10-18,178,
178,Brooklyn pastor who was robbed on live stream in July charged with fraud,the guardian,2022-12-19,179,
179,Only proper online regulation can stop poisonous conspiracists like Alex Jones,the guardian,2022-10-13,180,
180,Alex Jones Files Bankruptcy Following Sandy Hook Trial Losses; The internet broadcaster followed his Infowars broadcasting business into bankruptcy,wall street journal,2022-12-02,181,
181,Video: Residents clash with cops in China's Guangzhou amid huge Covid protests,the hindustan times,2022-11-30,182,"(China’s Covid lockdown protests: complete guide in videos, maps and charts, the guardian, 2022-11-28), (China Clamps Down on Protesters Against Zero-Covid Policies; Police turn out to discourage gatherings in Beijing, Shanghai and Hong Kong as state-media backs Xi Jinping's approach to the pandemic, wall street journal, 2022-11-28), (With Sly Memes and Wordless Protests, Fed-Up Chinese Test the Authorities, new york times, 2022-11-29), (BBC journalist's detention during China protests among trending, bbc monitoring asia pacific, 2022-11-30), (Memes, Puns and Blank Sheets of Paper: China’s Creative Acts of Protest, new york times, 2022-11-28), (New Symbol of Protest in China Roils Censors: Blank White Papers; Protesters are using few or no words in public and online demonstrations to speak out against Beijing's zero-Covid policies, wall street journal, 2022-11-28)"
182,Gomatha fry video': Kerala HC declines to stay case against activist Rehana Fathima,the times of india,2022-10-21,183,
183,"Kerala: Need law to control social media, says VD Satheesan",the times of india,2022-11-09,184,
184,"Kerala: Rift with Shashi Tharoor media's creation, says V D Satheesan",the times of india,2022-11-29,185,
185,Cong strategist booked for 'defamatory' videos of KCR,the times of india,2022-12-15,186,
186,"BTS: Jin's first military pictures leaked online, fans get emotional and angry",the hindustan times,2022-12-24,187,
187,Tuesday briefing: Sam Bankman-Fried arrest; blizzard in central states; Elon Musk’s Twitter; BTS military service; and more,the washington post,2022-12-13,188,
188,ECI orders Gujarat poll observer's removal for announcing posting on Instagram,the hindustan times,2022-11-18,189,"(EC orders Guj poll observer's removal over Instagram post, the hindustan times, 2022-11-18)"
189,Met monitoring song lyrics of rap artist it tried to censor on Instagram,the guardian,2022-11-25,190,
190,Instagram is down again and causing more problems to users this time,the times of india,2022-11-01,191,
191,"Suspected serial rapist targeted 13 L.A. County victims on Instagram, authorities say",los angeles times,2022-11-30,192,"(CITY &amp; STATE; L.A. man is accused of 13 sexual assaults; Michael Watson Jr. is suspected of targeting victims, including four minors, on Instagram., los angeles times, 2022-12-01), (NSW high school principal investigated for historical child sex abuse after messages found on student’s Facebook account, the guardian, 2022-11-30)"
192,"Teen performs sexual act on girl, 14, and later admits it on Instagram",the straits times,2022-11-16,193,
193,"UC Irvine med school professor spent $400,000 of state funds on cameras used for Instagram posts",los angeles times,2022-11-16,194,
194,Instagram users need a better way to report death threats,the washington post,2022-11-03,195,
195,Muireann O'Connell: I was told posting about my period on Instagram was 'inappropriate',irish examiner,2022-10-24,196,
196,Instagram owner 'knew' it was promoting content that was harmful to teenagers,the daily telegraph,2022-12-14,197,"(Instagram influencer in Delhi fined for 'dangerous driving'; BMW seized, the hindustan times, 2022-12-14), (States Demand That Google, Apple Raise Content Ratings for TikTok; Attorneys general warn of legal action if app stores don't classify it as for mature audiences, wall street journal, 2022-12-14), (They came to TikTok for fun. They got stuck with sexualized videos, the washington post, 2022-12-14), (Young TikTok Users Quickly Encounter Problematic Posts, Researchers Say, new york times, 2022-12-14), (Senate Passes Bill Banning TikTok From Government Devices; Social-media app has come under scrutiny over China-based parent ByteDance, wall street journal, 2022-12-15), (U.S. News: States Demand Apple, Google Raise TikTok's Age Ratings, wall street journal, 2022-12-14), (TikTok self-harm study results ‘every parent’s nightmare’, the guardian, 2022-12-15), (TikTok 'targets children with suicide content within minutes', the daily telegraph, 2022-12-15), (TikTok ‘pushing harmful content into teenagers’ feeds’, study says, irish examiner, 2022-12-15), (Researchers Report TikTok's Youngest Users Can Encounter Problematic Posts Within 30 Minutes, new york times, 2022-12-15), (Fears over Communist link to young voters via TikTok, the daily telegraph, 2022-12-14)"
197,"Instagram messages helped build case in teen’s killing, police say",the washington post,2022-10-26,198,
198,Ambala: Minor shot at after argument on Instagram turns ugly,the hindustan times,2022-11-14,199,
199,Instagram acts to stop abuse of public figures,the daily telegraph,2022-10-21,200,"(Instagram's new update will protect users from abusive and harmful content, the times of india, 2022-10-22)"
200,"Post-pregnancy body positivity? On Instagram, it’s hard to find",the guardian,2022-10-22,201,
201,Posts teenager 'binged on' still visible on Instagram,the daily telegraph,2022-10-01,202,
202,"After Herschel Walker’s Defeat, His Son Piles On With Twitter Tirade",new york times,2022-12-07,203,
203,Shah: Fake tweets in name of top leaders inflamed sentiments,the times of india,2022-12-15,204,
204,Shah's 'KMF-Amul cooperation' remark triggers social media row,the hindustan times,2022-12-31,205,
205,‘Social media gets in your brain. You’re not thinking for yourself’,irish times,2022-10-10,206,
206,Facebook Does a Faceplant,wall street journal,2022-10-29,207,
207,When Facebook Actually Broke My Brain,the new york times,2022-10-18,208,"(When Facebook Broke My Brain, new york times, 2022-10-16)"
208,"Shraddha murder case: How 'Dexter' crime show, internet research and much more fueled a criminal mindset",the times of india,2022-11-22,209,
209,"‘Don’t Rent Me’: the online tenants’ group for swapping horror stories, advice and frustrations",the guardian,2022-11-09,210,
210,Plea in court to stop release of new videos,the times of india,2022-11-04,211,
211,India's move over online content sparks concerns,the straits times,2022-11-08,212,"(India's move for committees to oversee online content raises flags, the straits times, 2022-11-08)"
212,"Oath Keepers founder urged followers to be ready, messages show",chicago tribune,2022-10-05,213,
213,"Iran judiciary, activists give opposing accounts of death of",bbc monitoring newsfile,2022-11-09,214,
214,DealBook: Ye’s test for Twitter,new york times,2022-10-10,215,
215,"Twitter chaos, LeBron James, Kyrie Irving and more news literacy lessons",the washington post,2022-11-20,216,
216,Irving's anti-semitic posts weighing on Nets,the straits times,2022-11-04,217,
217,Himachal Pradesh: Fake list of Congress candidates goes viral on social media,the times of india,2022-10-01,218,
218,Taiwan flooded with fake news to alter course of upcoming polls,the straits times,2022-11-23,219,
219,"En Brasil, un solo hombre puede decidir lo que se dice en internet para combatir las mentiras",new york times,2022-10-21,220,"(To Fight Lies, Brazil Gives One Man Power Over Online Speech, the new york times, 2022-10-23), (Election Chief for Brazil Is Given Wide Authority To Remove Online Posts, new york times, 2022-10-22), (One Man Can Now Decide What Can Be Said Online in Brazil, new york times, 2022-10-21)"
220,El caos de la Navidad madrileña alcanza internet,el pais,2022-12-20,221,
221,UP govt tweets demotion of senior cop who was caught accepting bribe,the times of india,2022-11-03,222,
222,Wedding websites are the latest gay rights battleground in Colorado,the washington post,2022-12-04,223,
223,Twitter Lays Off Some Sales Employees After They Committed to Twitter 2.0; New cuts follow mass layoffs and resignations since Elon Musk took over the social-media platform,wall street journal,2022-11-21,224,
224,"Women sue Twitter, claiming Elon Musk layoffs unfairly targeted female staff",the hindustan times,2022-12-09,225,"(Women sue Twitter, claiming Musk layoffs unfairly targeted female staff, the guardian, 2022-12-09)"
225,Chennai: Social media commentator arrested for remarks on CM MK Stalin,the times of india,2022-11-23,226,
226,Miss Manners: Aspiring-influencer friend is plagiarizing my posts,the washington post,2022-11-12,227,
227,"Problem Gambling Is on the Rise Among Young Men; More time spent online, more states legalizing sports betting and an increase in gambling-like elements in videogames contribute to problems",wall street journal,2022-12-18,228,
228,"Baby, is it cold outside?: Heat may cause hate spikes on Twitter, study finds",the hindustan times,2022-10-22,229,
229,The Times podcast: The sketchy test sending moms to prison,los angeles times,2022-10-03,230,
230,6 Podcasts About the Perils of Misinformation,new york times,2022-11-22,231,
231,The Times podcast: The scandal at L.A. City Hall — again,los angeles times,2022-10-26,232,
232,Podcasts in 2022 started with a boycott and ended with a next-level horrorshow,irish times,2022-12-07,233,
233,Popular self-exiled YouTuber says Egypt arrested his father,bbc monitoring newsfile,2022-11-08,234,
234,"Woman shares her experience on trans hatred, asks people to be kind",the hindustan times,2022-11-22,235,
235,Nobel Prize Winner Maria Ressa Is Fighting for Press Freedom; The Philippine journalist sees authoritarian governments and weaponized social media as dual threats to democracy,wall street journal,2022-11-25,236,
236,Brothers of Italy senator deletes fascist post uncovered on Instagram,the guardian,2022-10-12,237,
237,Italian police trace suspect after Meloni faced death threats online,dpa international (english),2022-12-07,238,
238,Lawrenson's own goal as he tweets senior railcard code,the daily telegraph,2022-10-14,239,
239,Zombiegate review – a Halloween night dive into online toxicity,the guardian,2022-11-10,240,
240,"Man dressed as Leatherface scares toddlers on Halloween, internet reacts. Watch",the hindustan times,2022-10-25,241,
241,The media and the Halloween ‘rainbow fentanyl’ scare,the washington post,2022-10-26,242,"(The media's Halloween 'rainbow fentanyl' scare, the washington post, 2022-10-27)"
242,Company Backed by J.D. Vance Gives Platform for Russian Propaganda,new york times,2022-10-31,243,
243,Le compte Twitter de Kanye West suspendu,le monde,2022-12-03,244,"(Twitter suspende a Kanye West por ""incitación a la violencia"", el pais, 2022-12-03)"
244,Kyrgyz online outlets declare 'media blackout' over pressure,bbc monitoring newsfile,2022-10-28,245,
245,4 Belagavi girls drown while clicking selfies at waterfall,the times of india,2022-11-27,246,"(4 B'gavi girls die while clicking selfies at falls, the times of india, 2022-11-27)"
246,SP neta booked for comments against Yogi,the times of india,2022-11-13,247,
247,Pathaan' row: FIR against Twitter user for sharing morphed image of CM Yogi,the hindustan times,2022-12-20,248,
248,Mumbai Police shares fun reel to warn people against the danger of sharing OTP,the hindustan times,2022-11-30,249,
249,Tangedco cops flak after post on Twitter,the times of india,2022-12-26,250,
